# 20160802-20160809,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=20320,2016080611,28,12,0:00:36,9,11.11%,17.86%,US$0.00 
/point/pages/scan.html?dealerCode=20530,2016080813,28,17,0:00:15,12,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080221,28,18,0:00:06,18,5.56%,17.86%,US$0.00 
/point/pages/scan.html?dealerCode=21940,2016080314,28,4,0:05:06,4,50.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=50510,2016080509,28,6,0:01:07,4,0.00%,3.57%,US$0.00 
/point/pages/scan.html?dealerCode=11080,2016080210,27,15,0:01:25,11,9.09%,11.11%,US$0.00 
/point/pages/scan.html?dealerCode=20490,2016080823,27,11,0:00:43,7,28.57%,14.81%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080419,27,18,0:00:29,16,18.75%,29.63%,US$0.00 
/point/pages/scan.html?dealerCode=31670,2016080514,27,14,0:01:37,13,30.77%,29.63%,US$0.00 
/point/pages/scan.html?dealerCode=80320,2016080611,27,13,0:00:29,10,10.00%,25.93%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080219,26,15,0:00:32,14,0.00%,15.38%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080916,26,9,0:00:30,5,0.00%,7.69%,US$0.00 
/point/pages/scan.html?dealerCode=11240,2016080211,26,10,0:01:44,6,0.00%,19.23%,US$0.00 
/point/pages/scan.html?dealerCode=11350,2016080410,26,18,0:00:35,14,14.29%,23.08%,US$0.00 
/point/pages/scan.html?dealerCode=11810,2016080914,26,2,0:01:30,2,0.00%,3.85%,US$0.00 
/point/pages/scan.html?dealerCode=20300,2016080419,26,13,0:00:28,13,15.38%,34.62%,US$0.00 
/point/pages/scan.html?dealerCode=31610,2016080514,26,13,0:00:11,7,0.00%,19.23%,US$0.00 
/point/pages/scan.html?dealerCode=51140,2016080316,26,6,0:01:53,6,0.00%,19.23%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080316,25,4,0:01:47,4,0.00%,16.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080716,25,12,0:01:12,8,0.00%,4.00%,US$0.00 
/point/pages/scan.html?dealerCode=11350,2016080514,25,15,0:00:38,11,0.00%,28.00%,US$0.00 
/point/pages/scan.html?dealerCode=31210,2016080709,25,10,0:01:38,7,0.00%,16.00%,US$0.00 
/point/pages/scan.html?dealerCode=31480,2016080317,25,5,0:03:35,5,60.00%,24.00%,US$0.00 
/point/pages/scan.html?dealerCode=31710,2016080317,25,3,0:00:43,3,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=50290,2016080316,25,5,0:01:54,4,25.00%,28.00%,US$0.00 
/point/pages/scan.html?dealerCode=51140,2016080515,25,14,0:01:25,14,28.57%,24.00%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080222,24,7,0:00:15,7,0.00%,20.83%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080814,24,15,0:01:06,10,20.00%,20.83%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080309,24,9,0:01:47,8,37.50%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=11940,2016080714,24,12,0:00:12,9,11.11%,8.33%,US$0.00 
/point/pages/scan.html?dealerCode=20450,2016080610,24,13,0:01:14,9,0.00%,20.83%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080515,24,10,0:02:57,8,12.50%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=30400,2016080518,24,12,0:00:08,10,30.00%,29.17%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080913,23,12,0:00:18,10,20.00%,21.74%,US$0.00 
/point/pages/scan.html?dealerCode=11940,2016080713,23,12,0:01:18,10,0.00%,13.04%,US$0.00 
/point/pages/scan.html?dealerCode=20220,2016080609,23,6,0:01:07,4,0.00%,4.35%,US$0.00 
/point/pages/scan.html?dealerCode=20510,2016080316,23,3,0:01:09,3,33.33%,13.04%,US$0.00 
/point/pages/scan.html?dealerCode=21110,2016080709,23,11,0:01:51,9,22.22%,30.43%,US$0.00 
/point/pages/scan.html?dealerCode=30230,2016080416,23,19,0:00:07,18,27.78%,34.78%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080311,23,13,0:02:33,13,7.69%,26.09%,US$0.00 
/point/pages/scan.html?dealerCode=50350,2016080310,23,6,0:02:50,5,0.00%,13.04%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080316,22,8,0:02:32,8,37.50%,31.82%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080310,22,10,0:00:21,9,11.11%,27.27%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080813,22,7,0:01:37,5,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080309,22,6,0:00:32,5,20.00%,13.64%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080614,22,8,0:00:16,6,0.00%,4.55%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080813,22,11,0:00:12,7,14.29%,4.55%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080709,22,5,0:03:25,5,0.00%,18.18%,US$0.00 
/point/pages/scan.html?dealerCode=20810,2016080709,22,10,0:01:42,10,20.00%,22.73%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080915,22,7,0:00:16,7,28.57%,13.64%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080219,22,11,0:00:06,10,10.00%,13.64%,US$0.00 
/point/pages/scan.html?dealerCode=31710,2016080315,22,5,0:04:44,3,100.00%,13.64%,US$0.00 
/point/pages/scan.html?dealerCode=50290,2016080314,22,1,0:00:56,1,0.00%,4.55%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080909,21,9,0:00:58,5,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080314,21,6,0:01:48,6,33.33%,28.57%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080914,21,3,0:00:28,3,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080310,21,6,0:01:01,5,40.00%,23.81%,US$0.00 
/point/pages/scan.html?dealerCode=11000,2016080314,21,9,0:01:37,9,11.11%,28.57%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080211,21,11,0:00:10,8,0.00%,4.76%,US$0.00 
/point/pages/scan.html?dealerCode=21360,2016080511,21,5,0:01:44,4,50.00%,23.81%,US$0.00 
/point/pages/scan.html?dealerCode=30130,2016080608,21,5,0:00:43,5,0.00%,23.81%,US$0.00 
/point/pages/scan.html?dealerCode=30240,2016080410,21,14,0:00:18,13,23.08%,23.81%,US$0.00 
/point/pages/scan.html?dealerCode=30400,2016080308,21,3,0:01:39,3,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=30540,2016080609,21,12,0:03:26,8,12.50%,19.05%,US$0.00 
/point/pages/scan.html?dealerCode=31480,2016080316,21,7,0:02:55,6,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=50250,2016080908,21,10,0:00:29,9,22.22%,23.81%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080310,20,9,0:01:55,7,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080215,20,14,0:00:06,12,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080316,20,4,0:00:57,4,0.00%,15.00%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080910,20,10,0:00:30,8,12.50%,15.00%,US$0.00 
/point/pages/scan.html?dealerCode=10680,2016080818,20,11,0:00:11,11,9.09%,30.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080711,20,10,0:00:54,6,0.00%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080810,20,3,0:00:21,3,33.33%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080309,20,13,0:01:07,13,23.08%,45.00%,US$0.00 
/point/pages/scan.html?dealerCode=11030,2016080410,20,12,0:00:52,10,10.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080222,20,6,0:00:28,6,0.00%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=11940,2016080711,20,7,0:00:14,5,0.00%,15.00%,US$0.00 
/point/pages/scan.html?dealerCode=21190,2016080915,20,3,0:00:28,2,0.00%,5.00%,US$0.00 
/point/pages/scan.html?dealerCode=30730,2016080211,20,9,0:00:52,7,0.00%,15.00%,US$0.00 
/point/pages/scan.html?dealerCode=31210,2016080308,20,4,0:01:41,4,25.00%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=50350,2016080217,20,10,0:01:22,6,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=50510,2016080314,20,7,0:00:37,7,14.29%,35.00%,US$0.00 
/point/pages/scan.html?dealerCode=51010,2016080313,20,10,0:00:59,8,25.00%,30.00%,US$0.00 
/point/pages/scan.html?dealerCode=10840,2016080914,19,5,0:03:25,4,0.00%,15.79%,US$0.00 
/point/pages/scan.html?dealerCode=10940,2016080217,19,7,0:00:26,5,20.00%,15.79%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080609,19,4,0:02:32,4,25.00%,10.53%,US$0.00 
/point/pages/scan.html?dealerCode=11360,2016080709,19,7,0:03:59,7,14.29%,26.32%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080613,19,15,0:00:49,11,18.18%,15.79%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080710,19,9,0:00:17,6,16.67%,21.05%,US$0.00 
/point/pages/scan.html?dealerCode=20530,2016080815,19,10,0:00:21,7,0.00%,31.58%,US$0.00 
/point/pages/scan.html?dealerCode=20680,2016080309,19,4,0:01:17,3,33.33%,15.79%,US$0.00 
/point/pages/scan.html?dealerCode=20880,2016080608,19,8,0:02:01,8,0.00%,31.58%,US$0.00 
/point/pages/scan.html?dealerCode=20880,2016080709,19,8,0:02:24,6,50.00%,36.84%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080608,19,6,0:01:29,5,40.00%,21.05%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080617,19,9,0:00:11,7,0.00%,15.79%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080713,19,10,0:00:15,6,0.00%,10.53%,US$0.00 
/point/pages/scan.html?dealerCode=22060,2016080309,19,6,0:01:49,6,0.00%,15.79%,US$0.00 
/point/pages/scan.html?dealerCode=50350,2016080711,19,9,0:00:59,8,12.50%,21.05%,US$0.00 
/point/pages/scan.html?dealerCode=80370,2016080609,19,5,0:00:34,4,25.00%,10.53%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080509,18,10,0:00:21,7,28.57%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080211,18,5,0:02:53,4,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=11080,2016080213,18,13,0:00:16,11,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=11350,2016080411,18,8,0:00:19,7,0.00%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=20980,2016080311,18,10,0:00:57,8,37.50%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=21220,2016080618,18,10,0:01:13,8,12.50%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=21240,2016080620,18,12,0:00:11,10,10.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080709,18,7,0:00:53,5,0.00%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=21860,2016080709,18,8,0:01:27,5,20.00%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=30240,2016080411,18,9,0:00:06,8,12.50%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=30240,2016080412,18,7,0:00:17,5,0.00%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=30400,2016080510,18,6,0:01:24,5,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080413,18,8,0:00:14,7,28.57%,27.78%,US$0.00 
/point/pages/scan.html?dealerCode=30540,2016080314,18,9,0:00:29,9,44.44%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=50290,2016080708,18,5,0:00:27,5,20.00%,11.11%,US$0.00 
/point/pages/scan.html?dealerCode=51360,2016080610,18,8,0:02:09,8,0.00%,11.11%,US$0.00 
/point/pages/scan.html?dealerCode=81380,2016080511,18,4,0:00:43,3,0.00%,5.56%,US$0.00 
/point/pages/scan.html?dealerCode=10020,2016080710,17,2,0:00:24,1,0.00%,5.88%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080609,17,7,0:00:25,5,0.00%,23.53%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080813,17,5,0:01:09,3,0.00%,11.76%,US$0.00 
/point/pages/scan.html?dealerCode=10490,2016080510,17,8,0:00:09,4,0.00%,5.88%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080308,17,4,0:03:11,4,0.00%,11.76%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080309,17,9,0:00:29,7,28.57%,35.29%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080310,17,3,0:00:26,3,0.00%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080411,17,4,0:00:52,3,0.00%,5.88%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080714,17,8,0:00:27,5,0.00%,11.76%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080212,17,6,0:01:53,6,33.33%,23.53%,US$0.00 
/point/pages/scan.html?dealerCode=11000,2016080312,17,10,0:00:13,6,0.00%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=11000,2016080313,17,5,0:00:20,5,0.00%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=11030,2016080211,17,10,0:00:24,10,10.00%,23.53%,US$0.00 
/point/pages/scan.html?dealerCode=11240,2016080416,17,7,0:00:24,6,0.00%,23.53%,US$0.00 
