# 20160802-20160809,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=51010,2016080618,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=51690,2016080817,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80270,2016080512,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=80270,2016080817,4,3,0:00:06,3,33.33%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=80320,2016080610,7,4,0:00:06,3,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=80430,2016080917,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80600,2016080519,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80660,2016080518,2,0,0:00:06,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80840,2016080817,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=81360,2016080814,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10430,2016080411,5,4,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11020,2016080611,5,4,0:00:05,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11080,2016080606,6,2,0:00:05,2,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=80320,2016080711,5,2,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10380,2016080809,3,2,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080913,4,4,0:00:05,3,33.33%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=10920,2016080910,5,3,0:00:05,1,0.00%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=10940,2016080516,4,2,0:00:05,2,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=11550,2016080516,3,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11830,2016080409,3,2,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20220,2016080512,4,3,0:00:05,2,50.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=20300,2016080422,4,3,0:00:05,3,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=20590,2016080410,3,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20940,2016080810,3,3,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21820,2016080510,4,2,0:00:05,2,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=22210,2016080710,4,2,0:00:05,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=30130,2016080710,3,2,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080915,5,2,0:00:05,2,50.00%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=30550,2016080617,3,2,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30570,2016080614,4,2,0:00:05,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=50330,2016080715,3,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50350,2016080213,7,5,0:00:05,2,50.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=51170,2016080814,4,3,0:00:05,3,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=51320,2016080614,4,2,0:00:05,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=80260,2016080913,3,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80430,2016080414,4,3,0:00:05,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=80840,2016080910,3,3,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=81370,2016080414,3,2,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080411,8,4,0:00:05,3,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080412,8,5,0:00:05,3,0.00%,12.50%,US$0.00 
