# ----------------------------------------,,,,,,,,
# 20160801-20160802,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/point/pages/scan.html?dealerCode=00000,2016080110,5,3,0:02:49,3,33.33%,60.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=34083,2016080113,5,2,0:02:47,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080213,12,3,0:02:46,2,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080213,4,1,0:02:42,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=50570,2016080210,9,4,0:02:41,2,50.00%,11.11%,US$0.00 
/point/point/pages/scan.html?dealerCode=51320,2016080117,16,2,0:02:41,2,0.00%,6.25%,US$0.00 
/point/point/pages/scan.html?dealerCode=30730,2016080116,3,1,0:02:41,1,0.00%,33.33%,US$0.00 
/point/point/pages/scan.html?dealerCode=11860,2016080116,8,4,0:02:40,3,33.33%,37.50%,US$0.00 
/point/point/pages/scan.html?dealerCode=11840,2016080116,4,2,0:02:39,2,50.00%,50.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=31890,2016080110,4,2,0:02:39,1,100.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=51140,2016080211,11,3,0:02:37,3,0.00%,18.18%,US$0.00 
/point/point/pages/scan.html?dealerCode=51680,2016080121,6,1,0:02:30,1,0.00%,16.67%,US$0.00 
/point/point/pages/scan.html?dealerCode=00000,2016080108,2,1,0:02:29,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21210,2016080211,11,2,0:02:28,2,0.00%,9.09%,US$0.00 
/point/point/pages/scan.html?dealerCode=51670,2016080121,3,1,0:02:25,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=31410,2016080113,25,13,0:02:22,12,0.00%,16.00%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080211,5,1,0:02:20,0,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=11240,2016080212,12,6,0:02:19,5,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=31480,2016080114,5,2,0:02:18,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=11800,2016080210,2,2,0:02:14,1,100.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=21770,2016080215,3,2,0:02:11,2,50.00%,66.67%,US$0.00 
/point/point/pages/scan.html?dealerCode=80260,2016080114,4,2,0:02:11,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=21820,2016080116,20,6,0:02:09,2,0.00%,15.00%,US$0.00 
/point/pages/scan.html?dealerCode=20030,2016080210,16,5,0:02:08,3,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=50460,2016080115,11,3,0:02:08,3,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=10220,2016080109,3,1,0:02:07,1,0.00%,33.33%,US$0.00 
/point/point/pages/scan.html?dealerCode=20880,2016080113,5,2,0:02:06,1,0.00%,20.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=11490,2016080109,9,4,0:02:06,3,0.00%,22.22%,US$0.00 
/point/point/pages/scan.html?dealerCode=50400,2016080109,2,1,0:02:06,0,0.00%,0.00%,US$0.00 
